"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Epic04_Houses","0","Проверка создания дома с заполнением обязательных полей {floors} и {price} валидными кредами","0","1","Проверка создания дома с заполнением обязательных полей {floors} и {price} валидными кредами и получением успешного кода выполнения операции","0"
"0","Epic01_Авторизация","0","Проверка доступности выполнений действий для авторизованного пользователя","0","1","Проверка доступности выполнений действий для авторизованного пользователя (создать пользователя)","0"
"0","Epic04_Houses","0","Проверка создания дома","0","1","Проверка создания дома с заполнением всех полей валидными кредами (включая необязательные","0"
"0","Epic01_Авторизация","0","Проверка недоступности выполнений действий для неавторизованного пользователя","0","1","Проверка недоступности выполнений действий для неавторизованного пользователя (создать пользователя)","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по имени от A-Z","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","0","1","Отображение данных по пользователю без машины","0"
"0","API Tests","0","Users API","6","0","CRUD операции с пользователями","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по возрастанию ID","0"
"0","Cars","1","CarsAPI","3","0","API_Cars","0"
"0","Epic01_Авторизация","0","Проверка авторизации с пустым значением","0","1","Проверка авторизации с пустым значением 'Password' и валидным 'Email'","0"
"0","Epic01_Авторизация","0","Проверка аллерта после ввода невалидного 'Email'","0","1","Проверка аллерта после ввода валидного 'Email' невалидного 'Password' и нажатия 'GO'","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","0","1","Отображение данных по пользователю c одной машиной","0"
"0","Epic01_Авторизация","0","User authorization","0","1","Авторизация пользователя с валидными данными 'Email' и 'Password'","0"
"0","Epic01_Авторизация","0","Проверка валидации поля 'Email'","0","1","Проверка валидации поля 'Email' значением не являющимся адресом электронной почты.","0"
"0","Users","0","Страница по получению данных по пользователям с машинами","0","1","Ховер-эффекты и тултипы на странице","0"
"0","Epic01_Авторизация","0","Проверка получения access_token","1","0","Проверка получения access_token в ответе POST/login","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по имени от Z-A","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по убыванию ID","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по полу от A-Z","0"
"0","Users","0","Страница со всеми пользователями","0","1","Открытие страницы со всеми пользователями","0"
"1","Cars","0","Cars","0","0","","0"
"0","Epic01_Авторизация","0","Авторизация","1","0","Авторизация с невалидным Password","0"
"0","","0","Страница со всеми пользователями","0","1","Сортировка пользователей по убыванию возраста","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по убыванию возраста","0"
"0","Epic01_Авторизация","0","Проверка отображения сообщений об ошибке на форме 'Authorization'","0","1","Проверка отображения сообщений об ошибке при пустых значениях 'Email' и 'Password'","0"
"0","Epic01_Авторизация","0","Проверка валидации страницы 'Authorization'","0","1","Проверка валидации страницы 'Authorization' на наличие всех элементов.","0"
"0","Epic01_Авторизация","0","Авторизация пользователя","1","0","Авторизация пользователя с валидными данными (JSON)","0"
"0","Users","0","Страница со всеми пользователями","0","1","Проверка обновления таблицы","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по полу от Z-A","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по возрастанию возраста","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по фамилии от Z-A","0"
"0","Users","0","Страница со всеми пользователями","0","1","Сортировка пользователей по возрастанию наличности","0"
"0","Epic01_Авторизация","0","Авторизация","1","0","Авторизация с пустым телом запроса","0"
